CompanyCode,PositionId,CompositeRole,Client
2647,230524,Composite_I,160
5280,427104,Composite_A,170
4401,918963,Composite_J,170
8145,595872,Composite_K,170
9128,967514,Composite_R,160
2239,277636,Composite_R,160
7422,501982,Composite_T,100
9658,505923,Composite_F,160
8128,566568,Composite_Q,170
5209,388727,Composite_K,160
7285,247913,Composite_Z,170
9072,178260,Composite_R,100
4921,500788,Composite_M,160
9498,938479,Composite_Y,170
2023,474515,Composite_C,100
7168,572501,Composite_T,160
8424,187858,Composite_U,170
3328,967073,Composite_E,160
8160,435333,Composite_E,100
4187,539861,Composite_O,170
6456,851110,Composite_U,170
4998,491909,Composite_B,160
4035,872510,Composite_K,160
6862,606146,Composite_B,100
5839,100878,Composite_C,160

